name,type,url
District Education Authorities,agency,https://www.gov.nu.ca/en/education-and-schools/district-education-authority-dea-and-commission-scolaire-francophone-du
Inuit Uqausinginnik Taiguusiliuqtiit,agency,https://www.taiguusiliuqtiit.ca/
Labour Standards Board,agency,https://nu-nlsb.ca/
Legal Services Board of Nunavut,agency,https://nulegalaid.com/about/
Nunavut Liquor and Commission,agency,https://nulc.ca/
Nunavut Liquor and Cannabis Board,agency,https://www.gov.nu.ca/en/liquor-and-cannabis/nunavut-liquor-and-cannabis-board
Human Rights Tribunal,agency,https://nhrt.ca/
Qulliit Nunavut Status of Women Council,agency,https://www.qnsw.ca/
Nunavut Arctic College,crown_corp,https://www.arcticcollege.com/
Nunavut Business Credit Corporation,crown_corp,https://www.nbcc.nu.ca/
Nunavut Development Corporation,crown_corp,https://ndcorp.nu.ca/
Nunavut Housing Corporation,crown_corp,https://www.nunavuthousing.ca/
Qulliq Energy Corporation,crown_corp,https://www.qec.nu.ca/
Workersâ€™ Safety and Compensation Commission,agency,https://www.wscc.nt.ca/
