Type,Ministry,About,Priorities,Website,Minister(s),Deputy Ministers,Contact,Agenda,Biography
Ministry,Affaires municipales et de l'Habitation,"Initialement créé en 1918 pour organiser et superviser les municipalités qui faisaient face aux défis liés à la modernisation de la société québécoise, le Ministère est devenu, plus de 100 ans plus tard, un acteur essentiel du développement local. Il collabore plus que jamais avec les municipalités et travaille en partenariat avec elles pour accroître leur autonomie.",,https://www.quebec.ca/gouvernement/ministeres-organismes/affaires-municipales,Andrée Laforest,,http://www.assnat.qc.ca/fr/deputes/laforest-andree-17913/index.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/laforest-andree,N/A
Ministry,Affaires municipales et de l'Habitation,"Initialement créé en 1918 pour organiser et superviser les municipalités qui faisaient face aux défis liés à la modernisation de la société québécoise, le Ministère est devenu, plus de 100 ans plus tard, un acteur essentiel du développement local. Il collabore plus que jamais avec les municipalités et travaille en partenariat avec elles pour accroître leur autonomie.",,https://www.quebec.ca/gouvernement/ministeres-organismes/affaires-municipales,France-Élaine Duranceau,,http://www.assnat.qc.ca/fr/deputes/duranceau-france-elaine-19257/coordonnees.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/france-elaine-duranceau,N/A
Ministry,Affaires municipales et de l'Habitation,"Initialement créé en 1918 pour organiser et superviser les municipalités qui faisaient face aux défis liés à la modernisation de la société québécoise, le Ministère est devenu, plus de 100 ans plus tard, un acteur essentiel du développement local. Il collabore plus que jamais avec les municipalités et travaille en partenariat avec elles pour accroître leur autonomie.",,https://www.quebec.ca/gouvernement/ministeres-organismes/affaires-municipales,Christine Fréchette,,http://www.assnat.qc.ca/fr/deputes/frechette-christine-19269/coordonnees.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/christine-frechette,N/A
Ministry,"Ministère de l’Agriculture, des Pêcheries et de l’Alimentation (MAPAQ)","Le ministère de l’Agriculture, des Pêcheries et de l’Alimentation influence et appuie l’essor de l’industrie bioalimentaire québécoise.",,https://www.quebec.ca/gouvernement/ministeres-organismes/agriculture-pecheries-alimentation,André Lamontagne,,https://www.assnat.qc.ca/fr/deputes/lamontagne-andre-15401/coordonnees.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/lamontagne-andre,N/A
Ministry,Conseil exécutif,The ministère du Conseil exécutif is under the direct authority of the Premier. It carries out specific and unique functions concerning the governance of the public administration.,,https://www.quebec.ca/en/gouvernement/ministere/conseil-executif,François Legault,,https://www.quebec.ca/en/premier/premier/contact-the-quebec-premier,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/legault-francois,http://www.assnat.qc.ca/fr/deputes/legault-francois-4131/biographie.html
Ministry,Culture et des Communications,Être le catalyseur d’une culture et d’une jeunesse audacieuses et sources de fierté pour le Québec.,,https://www.quebec.ca/gouvernement/ministeres-organismes/culture-communications,Mathieu Lacombe,,https://www.assnat.qc.ca/fr/deputes/lacombe-mathieu-17927/coordonnees.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/lacombe-mathieu,N/A
Ministry,"Ministère de l’Économie, de l’Innovation et de l’Énergie",N/A,,https://www.quebec.ca/gouvernement/ministeres-organismes/economie,Christine Fréchette,,https://www.assnat.qc.ca/fr/deputes/frechette-christine-19269/coordonnees.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/christine-frechette,N/A
Ministry,"Ministère de l’Économie, de l’Innovation et de l’Énergie",N/A,,https://www.quebec.ca/gouvernement/ministeres-organismes/economie,Christopher Skeete,,http://www.assnat.qc.ca/fr/deputes/skeete-christopher-17873/coordonnees.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/christopher-skeete,N/A
Ministry,Ministère de l'Éducation,"Le ministère de l’Éducation veille à offrir à tous les élèves des services de qualité adaptés à leurs besoins et qui favorisent leur réussite, dans un milieu d'apprentissage sain. En soutenant le réseau scolaire, il permet aux élèves d’acquérir des savoirs et de développer des compétences qui feront d'eux des citoyens engagés et responsables. Le Ministère fait également la promotion auprès de la population d'un mode de vie physiquement actif dans des milieux sécuritaires.",,https://www.quebec.ca/gouvernement/ministeres-organismes/education,Bernard Drainville,,https://www.assnat.qc.ca/fr/deputes/drainville-bernard-209/coordonnees.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/bernard-drainville,N/A
Ministry,Ministère de l'Éducation,"Le ministère de l’Éducation veille à offrir à tous les élèves des services de qualité adaptés à leurs besoins et qui favorisent leur réussite, dans un milieu d'apprentissage sain. En soutenant le réseau scolaire, il permet aux élèves d’acquérir des savoirs et de développer des compétences qui feront d'eux des citoyens engagés et responsables. Le Ministère fait également la promotion auprès de la population d'un mode de vie physiquement actif dans des milieux sécuritaires.",,https://www.quebec.ca/gouvernement/ministeres-organismes/education,Isabelle Charest,,https://www.assnat.qc.ca/fr/deputes/charest-isabelle-17845/coordonnees.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/charest-isabelle,N/A
Ministry,Ministère de l'Emploi et de la Solidarité sociale et Ministère du Travail,The Ministère de l’Emploi et de la Solidarité sociale contributes to the social development and economic prosperity of Québec.,,https://www.quebec.ca/en/government/ministere/emploi-solidarite-sociale,Kateri Champagne Jourdain,,http://www.assnat.qc.ca/fr/deputes/champagne-jourdain-kateri-19303/coordonnees.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/kateri-champagne-jourdain,http://www.assnat.qc.ca/fr/deputes/champagne-jourdain-kateri-19303/biographie.html
Ministry,Ministère de l'Emploi et de la Solidarité sociale et Ministère du Travail,The Ministère de l’Emploi et de la Solidarité sociale contributes to the social development and economic prosperity of Québec.,,https://www.quebec.ca/en/government/ministere/emploi-solidarite-sociale,Chantal Rouleau,,http://www.assnat.qc.ca/fr/deputes/rouleau-chantal-17931/coordonnees.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/rouleau-chantal,http://www.assnat.qc.ca/fr/deputes/rouleau-chantal-17931/biographie.html
Ministry,Ministère de l'Enseignement supérieur,L'enseignement supérieur englobe les institutions et les programmes d'études qui se situent au-delà du diplôme de secondaire. Il se divise en deux niveaux : collégial et universitaire.,,https://www.quebec.ca/gouvernement/ministeres-organismes/enseignement-superieur,Pascale Déry,,https://www.assnat.qc.ca/fr/deputes/dery-pascale-19277/index.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/pascale-dery,N/A
Ministry,"Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",Hunting and fishing accounts,,https://www.quebec.ca/en/government/ministere/environnement,Benoit Charette,,http://www.assnat.qc.ca/en/deputes/charette-benoit-195/coordonnees.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/charette-benoit,http://www.assnat.qc.ca/en/deputes/charette-benoit-195/biographie.html
Ministry,Famille,"Created in 1997, the ministère de la Famille contributes to the development of Quebec by helping families thrive and contributing to their well-being and to children's development.",,https://www.quebec.ca/en/government/ministere/ministere-de-la-famille,Suzanne Roy,,http://www.assnat.qc.ca/fr/deputes/roy-suzanne-19265/coordonnees.html,N/A,N/A
Ministry,Finances du Québec,"The Ministère des Finances du Québec, through its contribution to the responsible and rigorous management of public finances, intends to be recognized as a highly effective, innovative and outstanding institution which serves society as a whole and supports Québec’s equitable economic development to ensure a better quality of life for current and future generations.",,https://www.quebec.ca/en/government/departments-agencies/finances,Eric Girard,,https://www.assnat.qc.ca/fr/deputes/girard-eric-17929/coordonnees.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/girard-eric,N/A
Ministry,"Ministère de l'Immigration, de la Francisation et de l'Intégration","Le ministère de l’Immigration, de la Francisation et de l'Intégration sélectionne les personnes immigrantes, les soutient dans leurs démarches de francisation et leur offre les services nécessaires pour faciliter leur intégration au Québec. Il sensibilise également l’ensemble de la population québécoise à la diversité pour construire un environnement toujours plus inclusif.",,https://www.quebec.ca/gouvernement/ministeres-organismes/immigration,Jean-François Roberge,,https://www.assnat.qc.ca/fr/deputes/roberge-jean-francois-15361/coordonnees.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/roberge-jean-francois,N/A
Ministry,Justice,"Le ministère de la Justice favorise l'accessibilité à un système de justice qui soit proche des citoyens, digne de confiance et intègre afin de faciliter l'exercice des droits des citoyens.",,https://www.quebec.ca/gouvernement/ministere/justice,Simon Jolin-Barrette,,http://assnat.qc.ca/fr/deputes/jolin-barrette-simon-15359/coordonnees.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/jolin-barrette-simon,http://assnat.qc.ca/fr/deputes/jolin-barrette-simon-15359/biographie.html
Ministry,Langue française,Le Ministère veille à renforcer le français en tant que seule langue officielle et langue commune au Québec.,,https://www.quebec.ca/gouvernement/ministere/langue-francaise,Jean-François Roberge,,http://assnat.qc.ca/fr/deputes/roberge-jean-francois-15361/coordonnees.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/roberge-jean-francois,http://assnat.qc.ca/fr/deputes/roberge-jean-francois-15361/biographie.html
Ministry,Relations internationales et de la Francophonie,"La mission du Ministère est de diriger l’action internationale du gouvernement et assurer le développement économique, le rayonnement de l’identité et la défense des intérêts du Québec.",,https://www.quebec.ca/gouvernement/ministeres-organismes/relations-internationales,Martine Biron,,https://www.assnat.qc.ca/fr/deputes/biron-martine-19297/index.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/martine-biron,N/A
Ministry,MRNF : Ressources naturelles et Forêts,"D’une superficie de 1,7millionkm2, le territoire québécois se distingue par son étendue et l’abondance de ses ressources. Dans une perspective de développement durable, notre mission est d’assurer la gestion et de soutenir la mise en valeur des ressources forestières et minérales ainsi que du territoire du Québec.",,https://www.quebec.ca/gouvernement/ministeres-organismes/ressources-naturelles-forets,Maïté Blanchette Vézina,,https://www.assnat.qc.ca/fr/deputes/blanchette-vezina-maite-19275/coordonnees.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/maite-blanchette-vezina,N/A
Ministry,Santé et des Services sociaux,"Le ministère de la Santé et des Services sociaux (MSSS) souscrit aux cinq valeurs fondamentales de la fonction publique québécoise que sont la compétence, l'impartialité, l'intégrité, la loyauté et le respect pour réaliser sa mission, ainsi que sur des valeurs qui lui sont propres et qui contribuent à mobiliser les membres de son personnel dans leurs activités, soit la bienveillance, la collaboration et la pertinence. Sa vision : l'accès et le bien-être de tous au cœur de nos actions.",,https://www.quebec.ca/gouvernement/ministeres-organismes/sante-services-sociaux,Christian Dubé,,https://www.assnat.qc.ca/fr/deputes/dube-christian-12223/coordonnees.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/dube-christian,N/A
Ministry,Santé et des Services sociaux,"Le ministère de la Santé et des Services sociaux (MSSS) souscrit aux cinq valeurs fondamentales de la fonction publique québécoise que sont la compétence, l'impartialité, l'intégrité, la loyauté et le respect pour réaliser sa mission, ainsi que sur des valeurs qui lui sont propres et qui contribuent à mobiliser les membres de son personnel dans leurs activités, soit la bienveillance, la collaboration et la pertinence. Sa vision : l'accès et le bien-être de tous au cœur de nos actions.",,https://www.quebec.ca/gouvernement/ministeres-organismes/sante-services-sociaux,Lionel Carmant,,https://www.assnat.qc.ca/fr/deputes/carmant-lionel-17893/coordonnees.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/carmant-lionel,N/A
Ministry,Santé et des Services sociaux,"Le ministère de la Santé et des Services sociaux (MSSS) souscrit aux cinq valeurs fondamentales de la fonction publique québécoise que sont la compétence, l'impartialité, l'intégrité, la loyauté et le respect pour réaliser sa mission, ainsi que sur des valeurs qui lui sont propres et qui contribuent à mobiliser les membres de son personnel dans leurs activités, soit la bienveillance, la collaboration et la pertinence. Sa vision : l'accès et le bien-être de tous au cœur de nos actions.",,https://www.quebec.ca/gouvernement/ministeres-organismes/sante-services-sociaux,Sonia Bélanger,,https://www.assnat.qc.ca/fr/deputes/belanger-sonia-19281/coordonnees.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/sonia-belanger,N/A
Ministry,Secrétariat du Conseil du trésor,Le Secrétariat du Conseil du trésor est l'appareil administratif du Conseil du trésor. Il trouve son assise légale dans la Loi sur l'administration publique.,,https://www.quebec.ca/gouvernement/ministeres-organismes/secretariat-conseil-tresor,Sonia LeBel,,https://www.assnat.qc.ca/fr/deputes/lebel-sonia-17847/coordonnees.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/lebel-sonia,N/A
Ministry,Secrétariat du Conseil du trésor,Le Secrétariat du Conseil du trésor est l'appareil administratif du Conseil du trésor. Il trouve son assise légale dans la Loi sur l'administration publique.,,https://www.quebec.ca/gouvernement/ministeres-organismes/secretariat-conseil-tresor,Jonatan Julien,,https://www.assnat.qc.ca/fr/deputes/julien-jonatan-17855/coordonnees.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/julien-jonatan,N/A
Ministry,Sécurité publique,"Le ministère de la Sécurité publique est chargé de conseiller le gouvernement en matière de sécurité publique, notamment en ce qui concerne la police et la prévention de la criminalité, la sécurité civile, la sécurité incendie, les services correctionnels et les sciences judiciaires et la médecine légale.",,https://www.quebec.ca/gouvernement/ministeres-organismes/securite-publique,François Bonnardel,,https://www.assnat.qc.ca/fr/deputes/bonnardel-francois-11/coordonnees.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/bonnardel-francois,N/A
Ministry,Tourisme,"Visant à favoriser la prospérité du secteur touristique, le rôle du Ministère se traduit par la mise en place d’un environnement d’affaires propice au développement du potentiel touristique du Québec.",,https://www.quebec.ca/gouvernement/ministeres-organismes/tourisme,Caroline Proulx,,https://www.assnat.qc.ca/fr/deputes/proulx-caroline-17837/index.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/proulx-caroline,N/A
Ministry,Transports et de la Mobilité durable,"The Ministère des Transports et de la Mobilité durable actively contributes to the prosperity of Québec and its territories. Through the importance it places on sustainable mobility, the Ministère ensures the development of safe and efficient transportation systems.",,https://www.quebec.ca/en/government/ministere/transports,Geneviève Guilbault,,https://www.assnat.qc.ca/en/deputes/guilbault-genevieve-16885/coordonnees.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/guilbault-genevieve,https://www.assnat.qc.ca/en/deputes/guilbault-genevieve-16885/biographie.html
Ministry,Travail,N/A,,https://www.quebec.ca/en/government/ministere/ministere-du-travail,Jean Boulet,,http://www.assnat.qc.ca/en/deputes/boulet-jean-17899/coordonnees.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/boulet-jean,http://www.assnat.qc.ca/en/deputes/boulet-jean-17899/biographie.html
